formula,class,Tc,reduced formula
Nd0.7Pr0.3Ba1Sr1Cu3O7,CuO,44,Nd7Pr3Ba10Sr10Cu30O70
Nd0.7Pr0.3Ba2Cu3O7,CuO,5.6,Nd7Pr3Ba20Cu30O70
Nd0.7Sr1.3Cu1FO4,CuO,44,Nd7Sr13Cu10F10O40
Nd0.85La0.15Ba2Cu3O7,CuO,89.21,Nd17La3Ba40Cu60O140
Nd0.85La1Ce0.15Cu1O4,CuO,15,Nd17La20Ce3Cu20O80
Nd0.85Pr0.15Ba2Cu3O6.75,CuO,21.6,Nd17Pr3Ba40Cu60O135
Nd0.85Pr0.15Ba2Cu3O6.85,CuO,41.3,Nd17Pr3Ba40Cu60O137
Nd0.85Pr0.15Ba2Cu3O7,CuO,40.7,Nd17Pr3Ba40Cu60O140
Nd0.85Pr0.15Ba2Cu3O7,CuO,59.7,Nd17Pr3Ba40Cu60O140
Nd0.8Ca0.1Pr0.1Ba2Cu3O7,CuO,70.8,Nd8Ca1Pr1Ba20Cu30O70
Nd0.8Ca0.1Pr0.1Ba2Cu3O7.02,CuO,70.8,Nd40Ca5Pr5Ba100Cu150O351
Nd0.8Ca0.2Ba0.6La0.4Cu3O6.72,CuO,72,Nd20Ca5Ba15La10Cu75O168
Nd0.8Ca0.2Ba1Sr1Cu3O6.78,CuO,77,Nd40Ca10Ba50Sr50Cu150O339
Nd0.8La1.1Ce0.1Cu1O4,CuO,23,Nd8La11Ce1Cu10O40
Nd0.8Pr0.2Ba2Cu3O6.75,CuO,9.8,Nd16Pr4Ba40Cu60O135
Nd0.8Pr0.2Ba2Cu3O6.81,CuO,50,Nd80Pr20Ba200Cu300O681
Nd0.8Pr0.2Ba2Cu3O6.85,CuO,30.2,Nd16Pr4Ba40Cu60O137
Nd0.8Pr0.2Ba2Cu3O7,CuO,25.8,Nd4Pr1Ba10Cu15O35
Nd0.8Pr0.2Ba2Cu3O7,CuO,31.4,Nd4Pr1Ba10Cu15O35
Nd0.8Pr0.2Ba2Cu3O7,CuO,40.9,Nd4Pr1Ba10Cu15O35
Nd0.8Pr0.2Ba2Cu3O7,CuO,49,Nd4Pr1Ba10Cu15O35
Nd0.8Sm0.2Bi1S2F0.3O0.7,other,4.9,Nd8Sm2Bi10S20F3O7
Nd0.8Sm0.2Bi1S2F0.5O0.5,other,5.11,Nd8Sm2Bi10S20F5O5
Nd0.8Sm0.2Bi1S2F0.7O0.3,other,4.65,Nd8Sm2Bi10S20F7O3
Nd0.8Sm0.2F0.3Bi1S2O0.5,other,5.1,Nd8Sm2F3Bi10S20O5
Nd0.8Sm0.2F0.3Bi1S2O0.5,other,5.3,Nd8Sm2F3Bi10S20O5
Nd0.8Sm0.2F0.3Bi1S2O0.5,other,5.1,Nd8Sm2F3Bi10S20O5
Nd0.8Sm0.2F0.3Bi1S2O0.5,other,5.3,Nd8Sm2F3Bi10S20O5
Nd0.8Sm0.2F0.3Bi1S2O0.7,other,4.59,Nd8Sm2F3Bi10S20O7
Nd0.8Sm0.2F0.3Bi1S2O0.7,other,4.59,Nd8Sm2F3Bi10S20O7
Nd0.925Gd0.925Ce0.15Cu1O4,CuO,13,Nd37Gd37Ce6Cu40O160
Nd0.92Pr0.08Ba2Cu3O7,CuO,68.2,Nd23Pr2Ba50Cu75O175
Nd0.94Ca0.06Ba2Cu3O7,CuO,88,Nd47Ca3Ba100Cu150O350
Nd0.95Ca0.025Pr0.025Ba2Cu3O6.95,CuO,86.1,Nd38Ca1Pr1Ba80Cu120O278
Nd0.95Ca0.025Pr0.025Ba2Cu3O7,CuO,86.1,Nd38Ca1Pr1Ba80Cu120O280
Nd0.95La0.05Ba2Cu3O7,CuO,91.78,Nd19La1Ba40Cu60O140
Nd0.95La0.9Ce0.15Cu1O4,CuO,22,Nd19La18Ce3Cu20O80
Nd0.95La0.9Ce0.15Cu1O4,CuO,18.4,Nd19La18Ce3Cu20O80
Nd0.95Pr0.05Ba2Cu3O6.6,CuO,4.1,Nd19Pr1Ba40Cu60O132
Nd0.95Pr0.05Ba2Cu3O6.65,CuO,26.7,Nd19Pr1Ba40Cu60O133
Nd0.95Pr0.05Ba2Cu3O6.75,CuO,45.8,Nd19Pr1Ba40Cu60O135
Nd0.95Pr0.05Ba2Cu3O6.85,CuO,57.2,Nd19Pr1Ba40Cu60O137
Nd0.95Pr0.05Ba2Cu3O7,CuO,84.4,Nd19Pr1Ba40Cu60O140
Nd0.97Ca0.03Ba2Cu3O7,CuO,90.36,Nd97Ca3Ba200Cu300O700
Nd0.97Pr0.03Ba2Cu3O7,CuO,85.1,Nd97Pr3Ba200Cu300O700
Nd0.9Ba1.7Ca0.4Cu3O6.801,CuO,72,Nd900Ba1700Ca400Cu3000O6801
Nd0.9Ba1.7Sr0.4Cu3O6.666,CuO,82,Nd450Ba850Sr200Cu1500O3333
Nd0.9Ca0.05Pr0.05Ba2Cu3O6.95,CuO,81.4,Nd18Ca1Pr1Ba40Cu60O139
Nd0.9Ca0.05Pr0.05Ba2Cu3O7,CuO,81.4,Nd18Ca1Pr1Ba40Cu60O140
Nd0.9Ca0.1Ba0.6La0.4Cu3O6.7,CuO,54.5,Nd9Ca1Ba6La4Cu30O67
Nd0.9Ca0.1Ba1Sr1Cu3O6.85,CuO,71,Nd18Ca2Ba20Sr20Cu60O137
Nd0.9Ca0.1Ba2Cu3O6.63,CuO,84.5,Nd90Ca10Ba200Cu300O663
Nd0.9Ca0.1Ba2Cu3O7,CuO,86,Nd9Ca1Ba20Cu30O70
Nd0.9Ca0.1Ba2Cu3O7,CuO,85.34,Nd9Ca1Ba20Cu30O70
Nd0.9La0.1Ba2Cu3O7,CuO,91.09,Nd9La1Ba20Cu30O70
Nd0.9La0.95Ce0.15Cu1O4,CuO,26,Nd18La19Ce3Cu20O80
Nd0.9La1Ce0.1Cu1O4,CuO,23,Nd9La10Ce1Cu10O40
Nd0.9Pr0.1Ba1Ca1Cu3O7,CuO,35,Nd9Pr1Ba10Ca10Cu30O70
Nd0.9Pr0.1Ba2Cu3O6.65,CuO,16.8,Nd18Pr2Ba40Cu60O133
Nd0.9Pr0.1Ba2Cu3O6.75,CuO,35.9,Nd18Pr2Ba40Cu60O135
Nd0.9Pr0.1Ba2Cu3O6.85,CuO,48.3,Nd18Pr2Ba40Cu60O137
Nd0.9Pr0.1Ba2Cu3O7,CuO,73,Nd9Pr1Ba20Cu30O70
Nd1.04Ba1.96Cu3O7,CuO,86,Nd26Ba49Cu75O175
Nd1.05Ba1.95Cu3O7,CuO,91.9,Nd21Ba39Cu60O140
Nd1.08Ba1.92Cu3O6.17,CuO,77.5,Nd108Ba192Cu300O617
Nd1.09La0.8Ce0.11Cu1O4,CuO,24,Nd109La80Ce11Cu100O400
Nd1.11Gd0.74Ce0.15Cu1O4,CuO,15,Nd111.000000000000Gd74Ce15Cu100O400
Nd1.15Ba1.85Cu3O6.96,CuO,76.8,Nd115Ba185Cu300O696
Nd1.15Ba1.85Cu3O7,CuO,67.1,Nd23Ba37Cu60O140
Nd1.15La0.7Ce0.15Cu1O4,CuO,19,Nd23La14Ce3Cu20O80
Nd1.15La0.7Ce0.15Cu1O4,CuO,18,Nd23La14Ce3Cu20O80
Nd1.1Ba1.5Ca0.4Cu3O6.864,CuO,54,Nd275Ba375Ca100Cu750O1716
Nd1.1Ba1.7Ca0.2Cu3O6.894,CuO,65,Nd550Ba850Ca100Cu1500O3447
Nd1.1Ba1.7Sr0.2Cu3O6.858,CuO,70,Nd550Ba850Sr100Cu1500O3429
Nd1.1Ba1.9Cu3O6.9,CuO,92,Nd11Ba19Cu30O69
Nd1.1Ba1.9Cu3O6.935,CuO,76,Nd220Ba380Cu600O1387
Nd1.1Ba1.9Cu3O6.96,CuO,87.6,Nd55Ba95Cu150O348
Nd1.1Ba1.9Cu3O7,CuO,78.5,Nd11Ba19Cu30O70
Nd1.1Ba1.9Cu3O7,CuO,82.3,Nd11Ba19Cu30O70
Nd1.1Ba1.9Cu3O7.05,CuO,65.5,Nd22Ba38Cu60O141
Nd1.22La0.6Ce0.12Cu1O4,CuO,23,Nd61La30Ce6Cu50O200
Nd1.25Ba1.75Cu3O6.99,CuO,52.7,Nd125Ba175Cu300O699
Nd1.25Ba1.75Cu3O7,CuO,43.8,Nd5Ba7Cu12O28
Nd1.25La0.6Ce0.15Cu1O4,CuO,23,Nd25La12Ce3Cu20O80
Nd1.295Gd0.555Ce0.15Cu1O4,CuO,17,Nd259Gd111.000000000000Ce30Cu200O800
Nd1.2Ba1.4Ca0.4Cu3O6.888,CuO,40,Nd150Ba175Ca50Cu375O861
Nd1.2Ba1.4Sr0.4Cu3O6.731,CuO,65,Nd1200Ba1400Sr400Cu3000O6731
Nd1.2Ba1.4Sr0.4Cu3O6.789,CuO,41,Nd1200Ba1400Sr400Cu3000O6789
Nd1.2Ba1.6Ca0.2Cu3O6.929,CuO,51,Nd1200Ba1600Ca200Cu3000O6929
Nd1.2Ba1.6Sr0.2Cu3O6.885,CuO,45,Nd240Ba320Sr40Cu600O1377
Nd1.2Ba1.8Cu3O6.91,CuO,47.6,Nd120Ba180Cu300O691
Nd1.2Ba1.8Cu3O6.954,CuO,50,Nd200Ba300Cu500O1159
Nd1.2Ba1.8Cu3O6.96,CuO,80,Nd10Ba15Cu25O58
Nd1.2Ba1.8Cu3O7,CuO,48.8,Nd6Ba9Cu15O35
Nd1.2Ba1.8Cu3O7,CuO,56.5,Nd6Ba9Cu15O35
Nd1.2Ba1.8Cu3O7,CuO,56,Nd6Ba9Cu15O35
Nd1.2Ba1.8Cu3O7.1,CuO,43.5,Nd12Ba18Cu30O71
Nd1.2Ce0.35Sr0.45Cu1O4,CuO,21.2,Nd24Ce7Sr9Cu20O80
Nd1.32Sr0.41Ce0.27Cu1O4,CuO,24,Nd132Sr41Ce27Cu100O400
Nd1.35Ba1.65Cu3O7.02,CuO,35.9,Nd45Ba55Cu100O234
Nd1.35La0.5Ce0.15Cu1O4,CuO,19.1,Nd27La10Ce3Cu20O80
Nd1.35La0.5Ce0.15Cu1O4,CuO,18,Nd27La10Ce3Cu20O80
Nd1.35Pr0.15Ce0.5Sr2Cu2Nb1O10,CuO,11.3,Nd27Pr3Ce10Sr40Cu40Nb20O200
Nd1.38Ce0.22Sr0.4Cu1O4,CuO,18.2,Nd13799.9999999999Ce2200Sr4000Cu10000O40000
Nd1.3Ba1.3Ca0.4Cu3O6.912,CuO,13,Nd325Ba325Ca100Cu750O1728
Nd1.3Ba1.5Ca0.2Cu3O6.952,CuO,36,Nd325Ba375Ca50Cu750O1738
Nd1.3Ba1.5Sr0.2Cu3O6.917,CuO,36,Nd1300Ba1500Sr200Cu3000O6917
Nd1.3Ba1.7Cu3O6.987,CuO,33,Nd1300Ba1700Cu3000O6987
Nd1.3Ba1.7Cu3O7,CuO,34.2,Nd13Ba17Cu30O70
Nd1.3Ba1.7Cu3O7,CuO,69,Nd13Ba17Cu30O70
Nd1.3Ba1.7Cu3O7,CuO,39.4,Nd13Ba17Cu30O70
Nd1.3Ba1.7Cu3O7,CuO,33.8,Nd13Ba17Cu30O70
Nd1.3Ba1.7Cu3O7.14,CuO,32,Nd65Ba85Cu150O357
Nd1.3Ce0.2Sr0.15Cu1O4,CuO,23.76,Nd26Ce4Sr3Cu20O80
Nd1.3Ce0.2Sr0.5Cu1O4,CuO,24,Nd13Ce2Sr5Cu10O40
Nd1.3Pr0.2Ce0.5Sr2Cu2Nb1O10,CuO,4.4,Nd13Pr2Ce5Sr20Cu20Nb10O100
Nd1.42Ce0.18Sr0.4Cu1O4,CuO,17.3,Nd71Ce9Sr20Cu50O200
Nd1.45Ba1.55Cu3O7.08,CuO,26.5,Nd145Ba155Cu300O708
Nd1.47La0.4Ce0.13Cu1O4,CuO,22,Nd147La40Ce13Cu100O400
Nd1.48Gd0.37Ce0.15Cu1O4,CuO,18,Nd148Gd37Ce15Cu100O400
Nd1.48Tb0.38Ce0.15Cu1O4,CuO,8,Nd148Tb38Ce15Cu100O400
Nd1.4Ba1.6Cu3O7,CuO,23.5,Nd7Ba8Cu15O35
Nd1.4Ba1.6Cu3O7,CuO,7.9,Nd7Ba8Cu15O35
Nd1.4Ba1.6Cu3O7.09,CuO,38,Nd140Ba160Cu300O709
Nd1.4Ce0.2Sr0.4Cu1O4,CuO,23.1,Nd7Ce1Sr2Cu5O20
Nd1.4Ce0.2Sr0.4Cu1O4,CuO,22.7,Nd7Ce1Sr2Cu5O20
Nd1.4Cu1O4,CuO,27.85,Nd7Cu5O20
Nd1.4Pr0.1Ce0.5Sr2Cu2Nb1O10,CuO,17.2,Nd14Pr1Ce5Sr20Cu20Nb10O100
Nd1.4Pr0.6Ba4Cu7O14.541,CuO,41,Nd1400Pr600Ba4000Cu7000O14541
Nd1.55La0.3Ce0.15Cu1O4,CuO,25.2,Nd31La6Ce3Cu20O80
Nd1.55La0.3Ce0.15Cu1O4,CuO,21.5,Nd31La6Ce3Cu20O80
Nd1.55Sm0.3Ce0.15Cu1O3.972,CuO,21.8,Nd775Sm150Ce75Cu500O1986
Nd1.5725Y0.2775Ce0.15Cu1O4,CuO,10.5,Nd629Y111.000000000000Ce60Cu400O1600
Nd1.5Ba1.5Cu3O7.12,CuO,15.4,Nd75Ba75Cu150O356
Nd1.5Ba1.5Cu3O7.14,CuO,20,Nd25Ba25Cu50O119
Nd1.5Ce0.5Sr2Cu2Nb1O10,CuO,20,Nd3Ce1Sr4Cu4Nb2O20
Nd1.5Ce0.5Sr2Cu2Nb1O10,CuO,24.2,Nd3Ce1Sr4Cu4Nb2O20
Nd1.5Ce0.5Sr2Cu2Nb1O10,CuO,24,Nd3Ce1Sr4Cu4Nb2O20
Nd1.5Ce0.5Sr2Nb1Cu2O10,CuO,28,Nd3Ce1Sr4Nb2Cu4O20
Nd1.5Ce0.5Sr2Ta1Cu2O10,CuO,25,Nd3Ce1Sr4Ta2Cu4O20
Nd1.65La0.2Ce0.15Cu1O4,CuO,21.2,Nd33La4Ce3Cu20O80
Nd1.65La0.2Ce0.15Cu1O4,CuO,23,Nd33La4Ce3Cu20O80
Nd1.65Sm0.2Ce0.15Cu1O3.971,CuO,21.6,Nd1650Sm200Ce150Cu1000O3971
Nd1.65Y0.2Ce0.15Cu1O4,CuO,17.3,Nd33Y4Ce3Cu20O80
Nd1.665Gd0.185Ce0.15Cu1O4,CuO,19,Nd333Gd37Ce30Cu200O800
Nd1.665Tb0.185Ce0.15Cu1O4,CuO,13.5,Nd333Tb37Ce30Cu200O800
Nd1.665Y0.185Ce0.15Cu1O4,CuO,16,Nd333Y37Ce30Cu200O800
Nd1.66La0.2Ce0.14Cu1O4,CuO,23,Nd83La10Ce7.0000000000000Cu50O200
Nd1.6Pr0.4Ba4Cu7O14.603,CuO,48,Nd1600Pr400Ba4000Cu7000O14603
Nd1.72Ta3.28S2,other,4.3,Nd43Ta82S50
Nd1.7575Y0.0925Ce0.15Cu1O4,CuO,18,Nd703Y37Ce60Cu400O1600
Nd1.75La0.1Ce0.15Cu1O4,CuO,20,Nd35La2Ce3Cu20O80
Nd1.75Sm0.1Ce0.15Cu1O3.972,CuO,22.2,Nd875Sm50Ce75Cu500O1986
Nd1.75Y0.1Ce0.15Cu1O4,CuO,21,Nd35Y2Ce3Cu20O80
Nd1.7945Y0.0555Ce0.15Cu1O4,CuO,19,Nd3589Y111Ce300Cu2000O8000
Nd1.7Cu1O4,CuO,30.7,Nd17Cu10O40
Nd1.82Ce0.18Cu1O4,CuO,6,Nd91Ce9Cu50O200
Nd1.82Ce0.18Cu1O4,CuO,9,Nd91Ce9Cu50O200
Nd1.8315Y0.0185Ce0.15Cu1O4,CuO,20,Nd3663Y37Ce300Cu2000O8000
Nd1.83Ce0.17Cu1O4,CuO,9.9,Nd183Ce17.0000000000000Cu100O400
Nd1.83Ce0.17Cu1O4,CuO,23.3,Nd183Ce17.0000000000000Cu100O400
Nd1.83Ce0.17Cu1O4,CuO,12,Nd183Ce17.0000000000000Cu100O400
Nd1.83Ce0.17Cu1O4,CuO,14,Nd183Ce17.0000000000000Cu100O400
Nd1.83Ce0.17Cu1O4,CuO,15.7,Nd183Ce17.0000000000000Cu100O400
Nd1.847Ce0.153Cu1O4,CuO,22.5,Nd1847Ce153Cu1000O4000
Nd1.84Ce0.16Cu1O3.96,CuO,16.1,Nd46Ce4Cu25O99
Nd1.84Ce0.16Cu1O4,CuO,21.75,Nd46Ce4Cu25O100
Nd1.84Ce0.16Cu1O4,CuO,22.6,Nd46Ce4Cu25O100
Nd1.85Ce0.15Cu0.91Mn0.09O4,CuO,17.9,Nd185Ce15Cu91Mn9O400
Nd1.85Ce0.15Cu0.95Zn0.05O4,CuO,8,Nd37Ce3Cu19Zn1O80
Nd1.85Ce0.15Cu0.96Mn0.04O4,CuO,21,Nd185Ce15Cu96Mn4O400
Nd1.85Ce0.15Cu0.96Zn0.04O4,CuO,9.5,Nd185Ce15Cu96Zn4O400
Nd1.85Ce0.15Cu0.975Zn0.025O4,CuO,12,Nd74Ce6Cu39Zn1O160
Nd1.85Ce0.15Cu0.97Zn0.03O4,CuO,11,Nd185Ce15Cu97Zn3O400
Nd1.85Ce0.15Cu0.985Fe0.015O4,CuO,6.5,Nd370Ce30Cu197Fe3O800
Nd1.85Ce0.15Cu0.985Zn0.015O4,CuO,14,Nd370Ce30Cu197Zn3O800
Nd1.85Ce0.15Cu0.987Zn0.013O4,CuO,14.5,Nd1850Ce150Cu987Zn13O4000
Nd1.85Ce0.15Cu0.98IN0.02O4,CuO,19.5,Nd185Ce15Cu98I100N2O400
Nd1.85Ce0.15Cu0.98Mn0.02O4,CuO,21.1,Nd185Ce15Cu98Mn2O400
Nd1.85Ce0.15Cu0.98Zn0.02O4,CuO,8.7,Nd185Ce15Cu98Zn2O400
Nd1.85Ce0.15Cu0.98Zn0.02O4,CuO,13,Nd185Ce15Cu98Zn2O400
Nd1.85Ce0.15Cu0.993Ni0.007O4,CuO,5.6,Nd1850Ce150Cu993Ni7O4000
Nd1.85Ce0.15Cu0.993Ni0.007O4,CuO,8,Nd1850Ce150Cu993Ni7O4000
Nd1.85Ce0.15Cu0.993Ni0.007O4,CuO,5.5,Nd1850Ce150Cu993Ni7O4000
Nd1.85Ce0.15Cu0.994Co0.006O4,CuO,4.3,Nd925Ce75Cu497Co3O2000
Nd1.85Ce0.15Cu0.994Ni0.006O4,CuO,8.4,Nd925Ce75Cu497Ni3O2000
Nd1.85Ce0.15Cu0.995Co0.005O4,CuO,7.3,Nd370Ce30Cu199Co1O800
Nd1.85Ce0.15Cu0.995Fe0.005O4,CuO,16.5,Nd370Ce30Cu199Fe1O800
Nd1.85Ce0.15Cu0.995Mn0.005O4,CuO,22.1,Nd370Ce30Cu199Mn1O800
Nd1.85Ce0.15Cu0.995Ni0.005O4,CuO,11.2,Nd370Ce30Cu199Ni1O800
Nd1.85Ce0.15Cu0.995Ni0.005O4,CuO,12,Nd370Ce30Cu199Ni1O800
Nd1.85Ce0.15Cu0.995Zn0.005O4,CuO,18,Nd370Ce30Cu199Zn1O800
Nd1.85Ce0.15Cu0.996Co0.004O4,CuO,9.6,Nd925Ce75Cu498Co2O2000
Nd1.85Ce0.15Cu0.996Co0.004O4,CuO,11.2,Nd925Ce75Cu498Co2O2000
Nd1.85Ce0.15Cu0.996Ni0.004O4,CuO,13.5,Nd925Ce75Cu498Ni2O2000
Nd1.85Ce0.15Cu0.996Zn0.004O4,CuO,18.1,Nd925Ce75Cu498Zn2O2000
Nd1.85Ce0.15Cu0.997Ni0.003O4,CuO,15.3,Nd1850Ce150Cu997Ni3O4000
Nd1.85Ce0.15Cu0.997Ni0.003O4,CuO,16,Nd1850Ce150Cu997Ni3O4000
Nd1.85Ce0.15Cu0.998Co0.002O4,CuO,14.4,Nd925Ce75Cu499Co1O2000
Nd1.85Ce0.15Cu0.998Co0.002O4,CuO,16.5,Nd925Ce75Cu499Co1O2000
Nd1.85Ce0.15Cu0.998Fe0.002O4,CuO,19.5,Nd925Ce75Cu499Fe1O2000
Nd1.85Ce0.15Cu0.998Ni0.002O4,CuO,17.3,Nd925Ce75Cu499Ni1O2000
Nd1.85Ce0.15Cu0.999Co0.001O4,CuO,15.5,Nd1850Ce150Cu999Co1O4000
Nd1.85Ce0.15Cu0.999Ni0.001O4,CuO,19.5,Nd1850Ce150Cu999Ni1O4000
Nd1.85Ce0.15Cu0.999Ni0.001O4,CuO,20,Nd1850Ce150Cu999Ni1O4000
Nd1.85Ce0.15Cu0.99Fe0.01O4,CuO,13,Nd185Ce15Cu99Fe1O400
Nd1.85Ce0.15Cu0.99IN0.01O4,CuO,20.5,Nd185Ce15Cu99I100N1O400
Nd1.85Ce0.15Cu0.99Zn0.01O4,CuO,15.1,Nd185Ce15Cu99Zn1O400
Nd1.85Ce0.15Cu0.99Zn0.01O4,CuO,15.5,Nd185Ce15Cu99Zn1O400
Nd1.85Ce0.15Cu1O3.93,CuO,24,Nd185Ce15Cu100O393
Nd1.85Ce0.15Cu1O3.95,CuO,22.1,Nd37Ce3Cu20O79
Nd1.85Ce0.15Cu1O3.97,CuO,20,Nd185Ce15Cu100O397
Nd1.85Ce0.15Cu1O3.971,CuO,21.6,Nd1850Ce150Cu1000O3971
Nd1.85Ce0.15Cu1O3.98,CuO,21.2,Nd185Ce15Cu100O398
Nd1.85Ce0.15Cu1O3.98,CuO,19.5,Nd185Ce15Cu100O398
Nd1.85Ce0.15Cu1O3.98,CuO,19,Nd185Ce15Cu100O398
Nd1.85Ce0.15Cu1O4,CuO,21,Nd37Ce3Cu20O80
Nd1.85Ce0.15Cu1O4,CuO,22.3,Nd37Ce3Cu20O80
Nd1.85Ce0.15Cu1O4,CuO,20.9,Nd37Ce3Cu20O80
Nd1.85Ce0.15Cu1O4,CuO,18.4,Nd37Ce3Cu20O80
Nd1.85Ce0.15Cu1O4,CuO,23,Nd37Ce3Cu20O80
Nd1.85Ce0.15Cu1O4,CuO,24,Nd37Ce3Cu20O80
Nd1.85Ce0.15Cu1O4,CuO,22.9,Nd37Ce3Cu20O80
Nd1.85Ce0.15Cu1O4,CuO,22.7,Nd37Ce3Cu20O80
Nd1.85Ce0.15Cu1O4,CuO,19.5,Nd37Ce3Cu20O80
Nd1.85Ce0.15Cu1O4,CuO,21.6,Nd37Ce3Cu20O80
Nd1.85Ce0.15Cu1O4,CuO,16.5,Nd37Ce3Cu20O80
Nd1.85Ce0.15Cu1O4,CuO,20,Nd37Ce3Cu20O80
Nd1.85Ce0.15Cu1O4,CuO,23.6,Nd37Ce3Cu20O80
Nd1.85Ce0.15Cu1O4,CuO,22,Nd37Ce3Cu20O80
Nd1.85Ce0.15Cu1O4,CuO,19.2,Nd37Ce3Cu20O80
Nd1.85Ce0.15Cu1O4,CuO,20.55,Nd37Ce3Cu20O80
Nd1.85Ce0.15Cu1O4,CuO,26.4,Nd37Ce3Cu20O80
Nd1.85Ce0.15Cu1O4,CuO,21.5,Nd37Ce3Cu20O80
Nd1.85Ce0.15Cu1O4,CuO,20.35,Nd37Ce3Cu20O80
Nd1.85Ce0.15Cu1O4,CuO,21.7,Nd37Ce3Cu20O80
Nd1.85Ce0.15Cu1O4,CuO,17,Nd37Ce3Cu20O80
Nd1.85Ce0.15Cu1O4,CuO,18.2,Nd37Ce3Cu20O80
Nd1.85Ce0.15Cu1O4,CuO,22.5,Nd37Ce3Cu20O80
Nd1.85Ce0.15Cu1O4,CuO,15.9,Nd37Ce3Cu20O80
Nd1.85Ce0.15Cu1O4,CuO,24.2,Nd37Ce3Cu20O80
Nd1.85Ce0.15Cu1O4,CuO,17.5,Nd37Ce3Cu20O80
Nd1.85Ce0.15Cu1O4,CuO,17.2,Nd37Ce3Cu20O80
Nd1.85Ce0.15Cu1O4,CuO,24.3,Nd37Ce3Cu20O80
Nd1.85Ce0.15Cu1O4,CuO,19,Nd37Ce3Cu20O80
Nd1.85Ce0.15Cu1O4,CuO,24.5,Nd37Ce3Cu20O80
Nd1.85Ce0.15Cu1O4,CuO,26.2,Nd37Ce3Cu20O80
Nd1.85Ce0.15Cu1O4,CuO,19.4,Nd37Ce3Cu20O80
Nd1.85Ce0.15Cu1O4.014,CuO,25,Nd925Ce75Cu500O2007
Nd1.85Ce0.15Cu1O4.026,CuO,21.1,Nd925Ce75Cu500O2013
Nd1.85Ce0.15Cu1O4.028,CuO,21.1,Nd18500Ce1500Cu10000O40279.999999999
Nd1.85Ce0.15Cu1O4.03,CuO,19.3,Nd185Ce15Cu100O403
Nd1.85Ce0.15Cu1O4.034,CuO,18.1,Nd925Ce75Cu500O2017
Nd1.85Ce0.15Cu1O4.037,CuO,9.1,Nd1850Ce150Cu1000O4037
Nd1.85Y0.15Cu1O4,CuO,21,Nd37Y3Cu20O80
Nd1.86Ce0.14Cu1O3.96,CuO,21.3,Nd93Ce7.0000000000000Cu50O198
Nd1.86Ce0.14Cu1O4,CuO,21.7,Nd93Ce7.0000000000000Cu50O200
Nd1.86Ce0.14Cu1O4,CuO,22,Nd93Ce7.0000000000000Cu50O200
Nd1.86Ce0.14Cu1O4,CuO,22.9,Nd93Ce7.0000000000000Cu50O200
Nd1.87Ce0.13Cu0.98IN0.02O4,CuO,19.5,Nd187Ce13Cu98I100N2O400
Nd1.88Ce0.12Cu0.96IN0.04O4,CuO,10.5,Nd47Ce3Cu24I25N1O100
Nd1.88Ce0.12Cu0.97IN0.03O4,CuO,17,Nd188Ce12Cu97I100N3O400
Nd1.88Ce0.12Cu0.98IN0.02O4,CuO,15.4,Nd94Ce6Cu49I50N1O200
Nd1.8Ce0.2Cu1O4,CuO,1.3,Nd9Ce1Cu5O20
Nd1.8Cu1O4,CuO,31.3,Nd9Cu5O20
Nd1.8Pr0.2Ba4Cu7O14.587,CuO,56,Nd1800Pr200Ba4000Cu7000O14587
Nd1Ba1.2Sr0.8Cu3O6.97,CuO,66.9,Nd100Ba120Sr80Cu300O697
Nd1Ba1.4Sr0.6Cu3O6.94,CuO,75,Nd50Ba70Sr30Cu150O347
Nd1Ba1.5Sr0.5Cu3O6.91,CuO,83,Nd100Ba150Sr50Cu300O691
Nd1Ba1.5Sr0.5Cu3O6.91,CuO,71,Nd100Ba150Sr50Cu300O691
Nd1Ba1.5Sr0.5Cu3O7,CuO,56.4,Nd2Ba3Sr1Cu6O14
Nd1Ba1.6Ca0.4Cu3O6.828,CuO,65,Nd250Ba400Ca100Cu750O1707
Nd1Ba1.6Sr0.4Cu3O6.721,CuO,78.5,Nd1000Ba1600Sr400Cu3000O6721
Nd1Ba1.6Sr0.4Cu3O6.94,CuO,86,Nd50Ba80Sr20Cu150O347
Nd1Ba1.8Ca0.2Cu3O6.866,CuO,73,Nd500Ba900Ca100Cu1500O3433
Nd1Ba1.8Sr0.2Cu3O6.927,CuO,82,Nd1000Ba1800Sr200Cu3000O6927
Nd1Ba1.8Sr0.2Cu3O6.96,CuO,91.1,Nd25Ba45Sr5Cu75O174
Nd1Ba1Ca1Cu3O7,CuO,59,Nd1Ba1Ca1Cu3O7
Nd1Ba1Ca1Cu3O7,CuO,33,Nd1Ba1Ca1Cu3O7
Nd1Ba1Ca1Cu3O7,CuO,37,Nd1Ba1Ca1Cu3O7
Nd1Ba1Sr0.2Ca0.8Cu3O7,CuO,51,Nd5Ba5Sr1Ca4Cu15O35
Nd1Ba1Sr0.4Ca0.6Cu3O7,CuO,63,Nd5Ba5Sr2Ca3Cu15O35
Nd1Ba1Sr0.6Ca0.4Cu3O7,CuO,66,Nd5Ba5Sr3Ca2Cu15O35
Nd1Ba1Sr0.85Ca0.15Cu3O7,CuO,69,Nd20Ba20Sr17Ca3Cu60O140
Nd1Ba1Sr0.8Ca0.2Cu3O7,CuO,69,Nd5Ba5Sr4Ca1Cu15O35
